MEMBER_HIERARCHY_ID,MEMBER_ID,LEVEL,PARENT_MEMBER_ID,COMPARATOR,OPERATOR,VALID_FROM,VALID_TO
EBA_CU_CUALL,EBA_CU_EBA_UAH,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_CK,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_NU,1,,>=,,1900-01-01,9999-12-31
EBA_MC_MC25,EBA_MC_EBA_x601,1,,>=,,1970-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_JPY,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_HU,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_LV,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_UG,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_IM,1,,>=,,1900-01-01,9999-12-31
EBA_MC_MC35,EBA_MC_EBA_x928,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_KP,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_BF,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_SG,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_HK,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_OM,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_MP,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_SJ,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_GP,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_CM,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_MP,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_OM,1,,>=,,1900-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_PAB,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_SG,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_HK,1,,>=,,1970-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_ZMK,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_BF,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_KP,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_IM,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_UG,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_LV,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_CM,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1002,EBA_GA_EBA_FR,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_GP,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_SJ,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1010,EBA_GA_EBA_GR,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_CK,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_TR,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_GN,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_MC,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_ES,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_SL,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_JE,1,,>=,,1900-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_CZK,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_ST,1,,>=,,1970-01-01,9999-12-31
EBA_MC_MC16,EBA_MC_EBA_x223,1,,=,,1970-01-01,9999-12-31
EBA_MC_MC51,EBA_MC_EBA_x283,1,,=,,1970-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_HU,1,,>=,,1900-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_BIF,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_NU,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_GM,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_AM,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_LK,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_LS,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_UZ,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_PY,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_PA,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_KM,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_HN,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_SZ,1,,>=,,1900-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_PKR,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_MM,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_VA,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_TD,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_DE,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_LU,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_BE,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_SI,1,,>=,,1970-01-01,9999-12-31
EBA_MC_MC35,EBA_MC_EBA_x930,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_BH,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_MF,1,,>=,,1970-01-01,9999-12-31
EBA_MC_MC34,EBA_MC_EBA_x224,1,,=,,1970-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_GS,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_TO,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_NE,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_CN,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_PR,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_RO,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_AS,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_CV,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_AG,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_CZ,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_GG,1,,>=,,1900-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_BTN,1,,>=,,1970-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_BHD,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_TV,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_MG,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_TN,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_BQ,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_BI,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_PS,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_CW,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_KG,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_PK,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_LA,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_LY,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_VU,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_TH,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_BO,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_FR,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_DO,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_IQ,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_CD,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_RE,1,,>=,,1900-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_CHF,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_WF,1,,>=,,1970-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_PHP,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_NO,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_LR,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_MT,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_GA,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_ML,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_GY,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_SC,1,,>=,,1970-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_x21,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_BB,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_UM,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_NA,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_FI,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_RS,1,,>=,,1970-01-01,9999-12-31
EBA_MC_MC73,EBA_MC_EBA_x709,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_KZ,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_AW,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_PN,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_SM,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_BT,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_BL,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_MZ,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_VN,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_TK,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_GW,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1002,EBA_GA_EBA_BE,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_MW,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_EG,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_KW,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_CG,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_AZ,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_JO,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_HR,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_MQ,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_GD,1,,>=,,1970-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_XAU,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_VE,1,,>=,,1900-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_KWD,1,,>=,,1970-01-01,9999-12-31
EBA_TR_TR1007,EBA_TR_EBA_x2,1,,>=,,1900-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_IDR,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_NR,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_AD,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_IT,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_CA,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_IL,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_CY,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_KI,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_PE,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_LB,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_FO,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_RU,1,,>=,,1900-01-01,9999-12-31
EBA_PL_PL37,EBA_PL_EBA_x750,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1006,EBA_GA_EBA_PH,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1007,EBA_GA_EBA_BR,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_IL,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1010,EBA_GA_EBA_EE,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_KI,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_CY,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_PE,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_IT,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1008,EBA_GA_EBA_AD,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6009,EBA_GA_EBA_CA,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1004,EBA_GA_EBA_NR,1,,>=,,1900-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_VE,1,,>=,,1900-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_CLF,1,,>=,,1970-01-01,9999-12-31
EBA_CU_CUALL,EBA_CU_EBA_UYU,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA6008,EBA_GA_EBA_MQ,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1009,EBA_GA_EBA_GD,1,,>=,,1970-01-01,9999-12-31
EBA_GA_GA1005,EBA_GA_EBA_HR,1,,>=,,1900-01-01,9999-12-31
