FACET_ID,FACET_TYPE,OBSERVATION_VALUE
PSTL_CD_GB,pattern,"([G][I][R] 0[A]{2})|((([A-Z][0-9]{1,2})|(([A-Z][A-HJ-Y][0-9]{1,2})|(([A-Z][0-9][A-Z])|([A-Z][A-HJ-Y][0-9]?[A-Z])))) [0-9][A-Z]{2})"
PSTL_CD_CZ,pattern,[1-7][0-9]{2} [0-9]{2}|[1-7][0-9]{4}
PSTL_CD_CC,pattern,(6799)
PSTL_CD_PT,pattern,[1-9]\d{3}((-)\d{3})
PSTL_CD_AZ,pattern,(AZ)(\d{4})|(AZ )(\d{4})
PSTL_CD_SA,pattern,[1-8]\d{4}([\-]\d{4})?
ID_2D_8D_1D,pattern,\d{2}-\d{8}-\d{1}
ID_5D_TO_7D,pattern,"\d{5,7}"
STRNG_255,maxLength,255
NN_NGTV_6D,minValue,0
ID_10D_OR_L,pattern,[A-Z0-9]{10}
NN_NGTV_6D,decimals,6
ID_3D_3D_3D,pattern,\d{3} \d{3} \d{3}
ID_4D_TO_6D,pattern,"\d{4,6}"
ID_2D-2D-6D,pattern,\d{2}(-)\d{2}(-)\d{6}
PTTRN_LEI,maxLength,20
ID_11D_OR_L,pattern,([A-Z0-9]{11})
ID_3D_2D_5D,pattern,\d{3}-\d{2}-\d{5}
NN_NGTV_2D,minValue,0
ID_21D_OR_L,pattern,[A-Z0-9]{21}
ID_4D_TO_5D,pattern,"\d{4,5}"
PSTL_CD_OPN,pattern,".{1,255}"
ID_4D_1L_5D,pattern,"\d{2,4}[A-Z]\d{5}"
ID_2D_3L_5D,pattern,"\d{2}[A-Z]{1,3}\d{5}"
LTN_EXT_255,pattern,[\p{IsBasicLatin}\p{IsLatin-1Supplement}\p{IsLatinExtended-A}\p{IsLatinExtended-B}‘-‟€]+
NN_NGTV_2D,decimals,2
ID_0_OR_1_8D,pattern,[0-1]\d{8}
ID_GB_VAT_CD,pattern,(GB)\d{9}|(GB)\d{12}|(GBGD)\d{3}|(GBHA)\d{3}
LTN_EXT_50,maxLength,50
ID_1_TO_8_4D,pattern,[1-8]\d{4}
