VARIABLE_MAPPING_ID,VARIABLE_ID,IS_SOURCE,VALID_FROM,VALID_TO
SHS_IMPRMNT_STTS,IMPRMNT_STTS,false,1999-01-01,9999-12-31
SHS_ISSUER_LEI,ECB2_ISSUER_LEI,true,1999-01-01,9999-12-31
SHS_IS_IN_EADB,ECB2_IS_IN_EADB,true,1999-01-01,9999-12-31
SHS_PRDNTL_PRTFL,PRDNTL_PRTFL,false,1999-01-01,9999-12-31
SHS_PRFRMNG_STTS,PRFRMNG_STTS,false,1999-01-01,9999-12-31
SHS_GROUP_AREA,ECB2_GROUP_AREA,true,1999-01-01,9999-12-31
SHS_ISSUER_NAME,NM_ENTTY_ISSR,false,1999-01-01,9999-12-31
SHS_SRC_ENCMBRNC,SRC_ENCMBRNC,false,1999-01-01,9999-12-31
SHS_ORIG_MAT_DAYS,ORGNL_MTRTY,false,1999-01-01,9999-12-31
SHS_GROUP_NAME,ECB2_GROUP_NAME,true,1999-01-01,9999-12-31
SHS_ENTITY_LEI,ECB2_ENTITY_LEI,true,1999-01-01,9999-12-31
SHS_MARKET_CAP,ECB2_MARKET_CAP,true,1999-01-01,9999-12-31
SHS_REPORTING_BASIS,RPRTNG_BSS,false,1999-01-01,9999-12-31
SHS_ISSUER_ID_TYPE,ISSR_ID_TYP,false,1999-01-01,9999-12-31
SHS_ENTITY_STATUS_DATE,DT_STTS,false,1999-01-01,9999-12-31
SHS_ACCR_INTEREST,ACCRD_INTRST,false,1999-01-01,9999-12-31
SHS_DIVIDEND_AMOUNT,DVDND_AMNT,false,1999-01-01,9999-12-31
SHS_SECURITY_STATUS,SCRTY_STTS,false,1999-01-01,9999-12-31
SHS_UNIT_MEASURE_NV,UNT_MSR_NV,false,1999-01-01,9999-12-31
SHS_INC_MRKT_VL,ECB2_INC_MRKT_VL,true,1999-01-01,9999-12-31
SHS_SHORT_NAME,SHRT_NM_INSTRMNT,false,1999-01-01,9999-12-31
SHS_ISSUER_MFI_CODE,MFI_CD_ISSR,false,1999-01-01,9999-12-31
SHS_UNIT_MEASURE,CRRNCY_UNT_MSR,false,1999-01-01,9999-12-31
SHS_ENTITY_STATUS,ISSR_STTS_DTL,false,1999-01-01,9999-12-31
SHS_PRICE_VALUE,ECB2_PRICE_VALUE,true,1999-01-01,9999-12-31
SHS_PRI_MRKT_VL,ECB2_PRI_MRKT_VL,true,1999-01-01,9999-12-31
SHS_LGD_DWNTRNS,ECB2_LGD_DWNTRNS,true,1999-01-01,9999-12-31
