COMBINATION_ID,CODE,NAME,MAINTENANCE_AGENCY_ID,VERSION,VALID_FROM,VALID_TO,METRIC
F_04_02_1_REF_FINREP_3_0_152720_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152732_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152734_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152736_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152738_REF,,,,,,,CRRYNG_AMNT
F_04_02_1_REF_FINREP_3_0_152780_REF,,,,,,,
F_04_02_1_REF_FINREP_3_0_152781_REF,,,,,,,
F_04_02_1_REF_FINREP_3_0_152782_REF,,,,,,,
F_04_02_1_REF_FINREP_3_0_152783_REF,,,,,,,
F_04_02_1_REF_FINREP_3_0_152784_REF,,,,,,,
F_04_02_1_REF_FINREP_3_0_152785_REF,,,,,,,
F_04_02_1_REF_FINREP_3_0_152786_REF,,,,,,,
F_04_02_1_REF_FINREP_3_0_152787_REF,,,,,,,
F_04_02_1_REF_FINREP_3_0_152788_REF,,,,,,,
F_04_02_1_REF_FINREP_3_0_152789_REF,,,,,,,
F_04_02_1_REF_FINREP_3_0_152790_REF,,,,,,,
F_04_02_1_REF_FINREP_3_0_152791_REF,,,,,,,
F_04_02_1_REF_FINREP_3_0_152792_REF,,,,,,,
F_04_02_1_REF_FINREP_3_0_152793_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_10950_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_10951_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_10952_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_10953_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_10954_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_10955_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_10956_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_10957_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_10958_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_10959_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_10960_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_10972_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_10974_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_10976_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_10978_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_151166_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_151167_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_151168_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_151169_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_151170_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_151171_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_151172_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_151173_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_151174_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_151175_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_151176_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_151177_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_151178_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_151179_REF,,,,,,,
F_04_02_2_REF_FINREP_3_0_67305_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_67306_REF,,,,,,,CRRYNG_AMNT
F_04_02_2_REF_FINREP_3_0_67307_REF,,,,,,,CRRYNG_AMNT
F_04_03_1_REF_FINREP_3_0_152794_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152795_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152796_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152797_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152798_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152799_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152800_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152801_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152802_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152803_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152804_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152805_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152806_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152807_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152808_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152809_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152810_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152811_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152812_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152813_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152814_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152815_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152816_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152817_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152818_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152819_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152820_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152821_REF,,,,,,,ACCMLTD_IMPRMNT
F_04_03_1_REF_FINREP_3_0_152822_REF,,,,,,,ACCMLTD_IMPRMNT
