ID,CUBE_ID,COMBINATION_ID
23251,F_19_00_b_REF_FINREP_3_0,F_19_00_b_REF_FINREP_3_0_153712_REF
23252,F_04_04_1_REF_FINREP_3_0,F_04_04_1_REF_FINREP_3_0_152190_REF
23253,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_429728_REF
23254,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0_155824_REF
23255,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154584_REF
23256,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154494_REF
23257,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_454917_REF
23258,F_25_02_c_REF_FINREP_3_0,F_25_02_c_REF_FINREP_3_0_433613_REF
23259,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_429217_REF
23260,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154001_REF
23261,F_19_00_b_REF_FINREP_3_0,F_19_00_b_REF_FINREP_3_0_155277_REF
23262,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154503_REF
23263,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0_66992_REF
23264,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0_149669_REF
23265,F_04_03_1_REF_FINREP_3_0,F_04_03_1_REF_FINREP_3_0_152914_REF
23266,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_431084_REF
23267,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_154933_REF
23268,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_430678_REF
23269,F_18_00_d_REF_FINREP_3_0,F_18_00_d_REF_FINREP_3_0_430442_REF
23270,F_04_03_1_REF_FINREP_3_0,F_04_03_1_REF_FINREP_3_0_152825_REF
23271,F_15_00_b_REF_FINREP_3_0,F_15_00_b_REF_FINREP_3_0_149755_REF
23272,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0_155602_REF
23273,F_19_00_e_REF_FINREP_3_0,F_19_00_e_REF_FINREP_3_0_430771_REF
23274,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_154683_REF
23275,F_19_00_c_REF_FINREP_3_0,F_19_00_c_REF_FINREP_3_0_430561_REF
23276,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_155039_REF
23277,F_18_00_e_REF_FINREP_3_0,F_18_00_e_REF_FINREP_3_0_456845_REF
23278,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_441924_REF
23279,F_19_00_c_REF_FINREP_3_0,F_19_00_c_REF_FINREP_3_0_430800_REF
23280,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_153598_REF
23281,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0_155830_REF
23282,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_154292_REF
