AXIS_ID,CODE,ORIENTATION,ORDER,NAME,DESCRIPTION,TABLE_ID,IS_OPEN_AXIS
EBA_AE_EBA_F_32_04_a_AE_3_0_1_1,,X,,EBA_AE_EBA_F_32_04_a_AE_3_0_1_1,,,
EBA_AE_EBA_F_32_04_a_AE_3_0_1_2,,Y,,EBA_AE_EBA_F_32_04_a_AE_3_0_1_2,,,
EBA_AE_EBA_F_32_04_a_AE_3_2_1,,X,,EBA_AE_EBA_F_32_04_a_AE_3_2_1,,,
EBA_AE_EBA_F_32_04_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_32_04_a_AE_3_2_2,,,
EBA_AE_EBA_F_32_04_b_AE_2014-07_1,,X,,EBA_AE_EBA_F_32_04_b_AE_2014-07_1,,,
EBA_AE_EBA_F_32_04_b_AE_2014-07_2,,Y,,EBA_AE_EBA_F_32_04_b_AE_2014-07_2,,,
EBA_AE_EBA_F_32_04_b_AE_2_8_1,,X,,EBA_AE_EBA_F_32_04_b_AE_2_8_1,,,
EBA_AE_EBA_F_32_04_b_AE_2_8_2,,Y,,EBA_AE_EBA_F_32_04_b_AE_2_8_2,,,
EBA_AE_EBA_F_32_04_b_AE_3_0_1_1,,X,,EBA_AE_EBA_F_32_04_b_AE_3_0_1_1,,,
EBA_AE_EBA_F_32_04_b_AE_3_0_1_2,,Y,,EBA_AE_EBA_F_32_04_b_AE_3_0_1_2,,,
EBA_AE_EBA_F_32_04_b_AE_3_2_1,,X,,EBA_AE_EBA_F_32_04_b_AE_3_2_1,,,
EBA_AE_EBA_F_32_04_b_AE_3_2_2,,Y,,EBA_AE_EBA_F_32_04_b_AE_3_2_2,,,
EBA_AE_EBA_F_33_00_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_33_00_a_AE_2014-03_1,,,
EBA_AE_EBA_F_33_00_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_33_00_a_AE_2014-03_2,,,
EBA_AE_EBA_F_33_00_a_AE_3_2_1,,X,,EBA_AE_EBA_F_33_00_a_AE_3_2_1,,,
EBA_AE_EBA_F_33_00_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_33_00_a_AE_3_2_2,,,
EBA_AE_EBA_F_33_00_b_AE_2014-03_1,,X,,EBA_AE_EBA_F_33_00_b_AE_2014-03_1,,,
EBA_AE_EBA_F_33_00_b_AE_2014-03_2,,Y,,EBA_AE_EBA_F_33_00_b_AE_2014-03_2,,,
EBA_AE_EBA_F_33_00_b_AE_3_2_1,,X,,EBA_AE_EBA_F_33_00_b_AE_3_2_1,,,
EBA_AE_EBA_F_33_00_b_AE_3_2_2,,Y,,EBA_AE_EBA_F_33_00_b_AE_3_2_2,,,
EBA_AE_EBA_F_34_00_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_34_00_a_AE_2014-03_1,,,
EBA_AE_EBA_F_34_00_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_34_00_a_AE_2014-03_2,,,
EBA_AE_EBA_F_34_00_a_AE_3_0_1,,X,,EBA_AE_EBA_F_34_00_a_AE_3_0_1,,,
EBA_AE_EBA_F_34_00_a_AE_3_0_2,,Y,,EBA_AE_EBA_F_34_00_a_AE_3_0_2,,,
EBA_AE_EBA_F_34_00_a_AE_3_2_1,,X,,EBA_AE_EBA_F_34_00_a_AE_3_2_1,,,
EBA_AE_EBA_F_34_00_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_34_00_a_AE_3_2_2,,,
EBA_AE_EBA_F_34_00_b_AE_2014-03_1,,X,,EBA_AE_EBA_F_34_00_b_AE_2014-03_1,,,
EBA_AE_EBA_F_34_00_b_AE_2014-03_2,,Y,,EBA_AE_EBA_F_34_00_b_AE_2014-03_2,,,
EBA_AE_EBA_F_34_00_b_AE_3_0_1,,X,,EBA_AE_EBA_F_34_00_b_AE_3_0_1,,,
EBA_AE_EBA_F_34_00_b_AE_3_0_2,,Y,,EBA_AE_EBA_F_34_00_b_AE_3_0_2,,,
EBA_AE_EBA_F_34_00_b_AE_3_2_1,,X,,EBA_AE_EBA_F_34_00_b_AE_3_2_1,,,
EBA_AE_EBA_F_34_00_b_AE_3_2_2,,Y,,EBA_AE_EBA_F_34_00_b_AE_3_2_2,,,
EBA_AE_EBA_F_34_00_c_AE_2016-A_1,,X,,EBA_AE_EBA_F_34_00_c_AE_2016-A_1,,,
EBA_AE_EBA_F_34_00_c_AE_2016-A_2,,Y,,EBA_AE_EBA_F_34_00_c_AE_2016-A_2,,,
EBA_AE_EBA_F_34_00_c_AE_2016-A_3,,Z,,EBA_AE_EBA_F_34_00_c_AE_2016-A_3,,,
EBA_AE_EBA_F_34_00_c_AE_2017-A_1,,X,,EBA_AE_EBA_F_34_00_c_AE_2017-A_1,,,
EBA_AE_EBA_F_34_00_c_AE_2017-A_2,,Y,,EBA_AE_EBA_F_34_00_c_AE_2017-A_2,,,
EBA_AE_EBA_F_34_00_c_AE_2017-A_3,,Z,,EBA_AE_EBA_F_34_00_c_AE_2017-A_3,,,
EBA_AE_EBA_F_34_00_c_AE_3_0_1,,X,,EBA_AE_EBA_F_34_00_c_AE_3_0_1,,,
EBA_AE_EBA_F_34_00_c_AE_3_0_2,,Y,,EBA_AE_EBA_F_34_00_c_AE_3_0_2,,,
EBA_AE_EBA_F_34_00_c_AE_3_0_3,,Z,,EBA_AE_EBA_F_34_00_c_AE_3_0_3,,,
EBA_AE_EBA_F_34_00_c_AE_3_2_1,,X,,EBA_AE_EBA_F_34_00_c_AE_3_2_1,,,
EBA_AE_EBA_F_34_00_c_AE_3_2_2,,Y,,EBA_AE_EBA_F_34_00_c_AE_3_2_2,,,
EBA_AE_EBA_F_34_00_c_AE_3_2_3,,Z,,EBA_AE_EBA_F_34_00_c_AE_3_2_3,,,
EBA_AE_EBA_F_35_00_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_35_00_a_AE_2014-03_1,,,
EBA_AE_EBA_F_35_00_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_35_00_a_AE_2014-03_2,,,
EBA_AE_EBA_F_35_00_a_AE_2014-03_3,,Z,,EBA_AE_EBA_F_35_00_a_AE_2014-03_3,,,
EBA_AE_EBA_F_35_00_a_AE_3_2_1,,X,,EBA_AE_EBA_F_35_00_a_AE_3_2_1,,,
EBA_AE_EBA_F_35_00_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_35_00_a_AE_3_2_2,,,
EBA_AE_EBA_F_35_00_a_AE_3_2_3,,Z,,EBA_AE_EBA_F_35_00_a_AE_3_2_3,,,
EBA_AE_EBA_F_35_00_b_AE_2014-03_1,,X,,EBA_AE_EBA_F_35_00_b_AE_2014-03_1,,,
EBA_AE_EBA_F_35_00_b_AE_2014-03_2,,Y,,EBA_AE_EBA_F_35_00_b_AE_2014-03_2,,,
EBA_AE_EBA_F_35_00_b_AE_2014-03_3,,Z,,EBA_AE_EBA_F_35_00_b_AE_2014-03_3,,,
EBA_AE_EBA_F_35_00_b_AE_3_2_1,,X,,EBA_AE_EBA_F_35_00_b_AE_3_2_1,,,
EBA_AE_EBA_F_35_00_b_AE_3_2_2,,Y,,EBA_AE_EBA_F_35_00_b_AE_3_2_2,,,
EBA_AE_EBA_F_35_00_b_AE_3_2_3,,Z,,EBA_AE_EBA_F_35_00_b_AE_3_2_3,,,
EBA_AE_EBA_F_35_00_c_AE_2016-A_1,,X,,EBA_AE_EBA_F_35_00_c_AE_2016-A_1,,,
EBA_AE_EBA_F_35_00_c_AE_2016-A_2,,Y,,EBA_AE_EBA_F_35_00_c_AE_2016-A_2,,,
EBA_AE_EBA_F_35_00_c_AE_2016-A_3,,Z,,EBA_AE_EBA_F_35_00_c_AE_2016-A_3,,,
EBA_AE_EBA_F_35_00_c_AE_3_2_1,,X,,EBA_AE_EBA_F_35_00_c_AE_3_2_1,,,
EBA_AE_EBA_F_35_00_c_AE_3_2_2,,Y,,EBA_AE_EBA_F_35_00_c_AE_3_2_2,,,
EBA_AE_EBA_F_35_00_c_AE_3_2_3,,Z,,EBA_AE_EBA_F_35_00_c_AE_3_2_3,,,
EBA_AE_EBA_F_35_00_d_AE_2014-03_1,,X,,EBA_AE_EBA_F_35_00_d_AE_2014-03_1,,,
EBA_AE_EBA_F_35_00_d_AE_2014-03_2,,Y,,EBA_AE_EBA_F_35_00_d_AE_2014-03_2,,,
EBA_AE_EBA_F_35_00_d_AE_2014-03_3,,Z,,EBA_AE_EBA_F_35_00_d_AE_2014-03_3,,,
EBA_AE_EBA_F_35_00_d_AE_3_2_1,,X,,EBA_AE_EBA_F_35_00_d_AE_3_2_1,,,
EBA_AE_EBA_F_35_00_d_AE_3_2_2,,Y,,EBA_AE_EBA_F_35_00_d_AE_3_2_2,,,
EBA_AE_EBA_F_35_00_d_AE_3_2_3,,Z,,EBA_AE_EBA_F_35_00_d_AE_3_2_3,,,
EBA_AE_EBA_F_36_01_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_36_01_a_AE_2014-03_1,,,
EBA_AE_EBA_F_36_01_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_36_01_a_AE_2014-03_2,,,
EBA_AE_EBA_F_36_01_a_AE_3_0_1,,X,,EBA_AE_EBA_F_36_01_a_AE_3_0_1,,,
EBA_AE_EBA_F_36_01_a_AE_3_0_2,,Y,,EBA_AE_EBA_F_36_01_a_AE_3_0_2,,,
EBA_AE_EBA_F_36_01_a_AE_3_2_1,,X,,EBA_AE_EBA_F_36_01_a_AE_3_2_1,,,
EBA_AE_EBA_F_36_01_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_36_01_a_AE_3_2_2,,,
EBA_AE_EBA_F_36_01_b_AE_2014-03_1,,X,,EBA_AE_EBA_F_36_01_b_AE_2014-03_1,,,
EBA_AE_EBA_F_36_01_b_AE_2014-03_2,,Y,,EBA_AE_EBA_F_36_01_b_AE_2014-03_2,,,
EBA_AE_EBA_F_36_01_b_AE_3_0_1,,X,,EBA_AE_EBA_F_36_01_b_AE_3_0_1,,,
EBA_AE_EBA_F_36_01_b_AE_3_0_2,,Y,,EBA_AE_EBA_F_36_01_b_AE_3_0_2,,,
EBA_AE_EBA_F_36_01_b_AE_3_2_1,,X,,EBA_AE_EBA_F_36_01_b_AE_3_2_1,,,
EBA_AE_EBA_F_36_01_b_AE_3_2_2,,Y,,EBA_AE_EBA_F_36_01_b_AE_3_2_2,,,
EBA_AE_EBA_F_36_01_c_AE_2014-03_1,,X,,EBA_AE_EBA_F_36_01_c_AE_2014-03_1,,,
EBA_AE_EBA_F_36_01_c_AE_2014-03_2,,Y,,EBA_AE_EBA_F_36_01_c_AE_2014-03_2,,,
EBA_AE_EBA_F_36_01_c_AE_3_0_1,,X,,EBA_AE_EBA_F_36_01_c_AE_3_0_1,,,
EBA_AE_EBA_F_36_01_c_AE_3_0_2,,Y,,EBA_AE_EBA_F_36_01_c_AE_3_0_2,,,
EBA_AE_EBA_F_36_01_c_AE_3_2_1,,X,,EBA_AE_EBA_F_36_01_c_AE_3_2_1,,,
EBA_AE_EBA_F_36_01_c_AE_3_2_2,,Y,,EBA_AE_EBA_F_36_01_c_AE_3_2_2,,,
EBA_AE_EBA_F_36_02_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_36_02_a_AE_2014-03_1,,,
EBA_AE_EBA_F_36_02_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_36_02_a_AE_2014-03_2,,,
EBA_AE_EBA_F_36_02_a_AE_3_0_1,,X,,EBA_AE_EBA_F_36_02_a_AE_3_0_1,,,
EBA_AE_EBA_F_36_02_a_AE_3_0_2,,Y,,EBA_AE_EBA_F_36_02_a_AE_3_0_2,,,
EBA_AE_EBA_F_36_02_a_AE_3_2_1,,X,,EBA_AE_EBA_F_36_02_a_AE_3_2_1,,,
EBA_AE_EBA_F_36_02_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_36_02_a_AE_3_2_2,,,
EBA_AE_EBA_F_36_02_b_AE_2014-03_1,,X,,EBA_AE_EBA_F_36_02_b_AE_2014-03_1,,,
EBA_AE_EBA_F_36_02_b_AE_2014-03_2,,Y,,EBA_AE_EBA_F_36_02_b_AE_2014-03_2,,,
