MAINTENANCE_AGENCY_ID,CUBE_STRUCTURE_ID,NAME,CODE,DESCRIPTION,VALID_FROM,VALID_TO,VERSION
,F_13_01_REF_FINREP_3_0_cube_structure,F_13_01_REF_FINREP_3_0_cube_structure,,,,,
,F_13_02_1_a_REF_FINREP_3_0_cube_structure,F_13_02_1_a_REF_FINREP_3_0_cube_structure,,,,,
,F_13_02_1_b_REF_FINREP_3_0_cube_structure,F_13_02_1_b_REF_FINREP_3_0_cube_structure,,,,,
,F_13_03_1_a_REF_FINREP_3_0_cube_structure,F_13_03_1_a_REF_FINREP_3_0_cube_structure,,,,,
,F_13_03_1_b_REF_FINREP_3_0_cube_structure,F_13_03_1_b_REF_FINREP_3_0_cube_structure,,,,,
,F_14_00_REF_FINREP_3_0_cube_structure,F_14_00_REF_FINREP_3_0_cube_structure,,,,,
,F_15_00_a_REF_FINREP_3_0_cube_structure,F_15_00_a_REF_FINREP_3_0_cube_structure,,,,,
,F_15_00_b_REF_FINREP_3_0_cube_structure,F_15_00_b_REF_FINREP_3_0_cube_structure,,,,,
,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure,,,,,
,F_18_00_b_REF_FINREP_3_0_cube_structure,F_18_00_b_REF_FINREP_3_0_cube_structure,,,,,
,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure,,,,,
,F_18_00_d_REF_FINREP_3_0_cube_structure,F_18_00_d_REF_FINREP_3_0_cube_structure,,,,,
,F_18_00_e_REF_FINREP_3_0_cube_structure,F_18_00_e_REF_FINREP_3_0_cube_structure,,,,,
,F_19_00_a_REF_FINREP_3_0_cube_structure,F_19_00_a_REF_FINREP_3_0_cube_structure,,,,,
,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure,,,,,
,F_19_00_c_REF_FINREP_3_0_cube_structure,F_19_00_c_REF_FINREP_3_0_cube_structure,,,,,
,F_19_00_d_REF_FINREP_3_0_cube_structure,F_19_00_d_REF_FINREP_3_0_cube_structure,,,,,
,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure,,,,,
,F_20_01_REF_FINREP_3_0_cube_structure,F_20_01_REF_FINREP_3_0_cube_structure,,,,,
,F_20_02_REF_FINREP_3_0_cube_structure,F_20_02_REF_FINREP_3_0_cube_structure,,,,,
,F_20_04_REF_FINREP_3_0_cube_structure,F_20_04_REF_FINREP_3_0_cube_structure,,,,,
,F_20_05_a_REF_FINREP_3_0_cube_structure,F_20_05_a_REF_FINREP_3_0_cube_structure,,,,,
,F_20_05_b_REF_FINREP_3_0_cube_structure,F_20_05_b_REF_FINREP_3_0_cube_structure,,,,,
,F_20_06_REF_FINREP_3_0_cube_structure,F_20_06_REF_FINREP_3_0_cube_structure,,,,,
,F_20_07_1_REF_FINREP_3_0_cube_structure,F_20_07_1_REF_FINREP_3_0_cube_structure,,,,,
,F_21_00_REF_FINREP_3_0_cube_structure,F_21_00_REF_FINREP_3_0_cube_structure,,,,,
,F_25_02_a_REF_FINREP_3_0_cube_structure,F_25_02_a_REF_FINREP_3_0_cube_structure,,,,,
,F_25_02_b_REF_FINREP_3_0_cube_structure,F_25_02_b_REF_FINREP_3_0_cube_structure,,,,,
,F_25_02_c_REF_FINREP_3_0_cube_structure,F_25_02_c_REF_FINREP_3_0_cube_structure,,,,,
,F_31_01_REF_FINREP_3_0_cube_structure,F_31_01_REF_FINREP_3_0_cube_structure,,,,,
,F_40_01_REF_FINREP_3_0_cube_structure,F_40_01_REF_FINREP_3_0_cube_structure,,,,,
,F_40_02_REF_FINREP_3_0_cube_structure,F_40_02_REF_FINREP_3_0_cube_structure,,,,,
,F_41_01_REF_FINREP_3_0_cube_structure,F_41_01_REF_FINREP_3_0_cube_structure,,,,,
,F_41_02_REF_FINREP_3_0_cube_structure,F_41_02_REF_FINREP_3_0_cube_structure,,,,,
,F_42_00_REF_FINREP_3_0_cube_structure,F_42_00_REF_FINREP_3_0_cube_structure,,,,,
,Function,Function,,,,,
,FunctionColumnReference,FunctionColumnReference,,,,,
,FunctionText,FunctionText,,,,,
,GLD_CLLTRL_LG_GLD_CLLTRL_ASSGNMNT,GLD_CLLTRL_LG_GLD_CLLTRL_ASSGNMNT,,,,,
,GRP,GRP,,,,,
,GRP_KY_MNGMNT_PRSNLL_ASSGNMNT,GRP_KY_MNGMNT_PRSNLL_ASSGNMNT,,,,,
,Group,Group,,,,,
,IMMDT_PRNT_ENTRPRS_ASSGNMNT,IMMDT_PRNT_ENTRPRS_ASSGNMNT,,,,,
,INSTRMNT,INSTRMNT,,,,,
,INSTRMNT_CLLTRL_ASSGNMNT,INSTRMNT_CLLTRL_ASSGNMNT,,,,,
,INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT,INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT,,,,,
,INSTRMNT_ENTTY_RL_ASSGNMNT,INSTRMNT_ENTTY_RL_ASSGNMNT,,,,,
,INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV,INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV,,,,,
,INSTRMNT_HDGD_OTC_DRVTV,INSTRMNT_HDGD_OTC_DRVTV,,,,,
,INSTRMNT_PRTCTN_ARRNGMNT_ASSGNMNT,INSTRMNT_PRTCTN_ARRNGMNT_ASSGNMNT,,,,,
,INSTRMNT_RL,INSTRMNT_RL,,,,,
,INTRNL_GRP_RL,INTRNL_GRP_RL,,,,,
,INTRST_RT_RSK_HDG_PRTFL,INTRST_RT_RSK_HDG_PRTFL,,,,,
,KB_PR_BCKT,KB_PR_BCKT,,,,,
