ID,CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED,IS_IDENTIFIER
2152,F_25_02_a_REF_FINREP_3_0_cube_structure,F_25_02_a_REF_FINREP_3_0_cube_structure__TM_SNC_INTL_RCGNTN,TM_SNC_INTL_RCGNTN,,,,,,,,,,,,
2153,F_09_01_1_REF_FINREP_3_0_cube_structure,F_09_01_1_REF_FINREP_3_0_cube_structure__CRRYNG_AMNT,CRRYNG_AMNT,,,,,,,,,,,,
2154,F_09_01_1_REF_FINREP_3_0_cube_structure,F_09_01_1_REF_FINREP_3_0_cube_structure__PRTY_RL_TYP,PRTY_RL_TYP,,,,,,,,,,,,
2155,F_09_01_1_REF_FINREP_3_0_cube_structure,F_09_01_1_REF_FINREP_3_0_cube_structure__MN_DBTR_INDCTR,MN_DBTR_INDCTR,,,,,,,,,,,,
2156,F_09_01_1_REF_FINREP_3_0_cube_structure,F_09_01_1_REF_FINREP_3_0_cube_structure__INSTTTNL_SCTR,INSTTTNL_SCTR,,,,,,,,,,,,
2157,F_09_01_1_REF_FINREP_3_0_cube_structure,F_09_01_1_REF_FINREP_3_0_cube_structure__MLTLTRL_DVLPMNT_BNK_INDCTR,MLTLTRL_DVLPMNT_BNK_INDCTR,,,,,,,,,,,,
2158,F_09_01_1_REF_FINREP_3_0_cube_structure,F_09_01_1_REF_FINREP_3_0_cube_structure__IMPRMNT_STTS,IMPRMNT_STTS,,,,,,,,,,,,
2159,F_09_01_1_REF_FINREP_3_0_cube_structure,F_09_01_1_REF_FINREP_3_0_cube_structure__PRFRMNG_STTS,PRFRMNG_STTS,,,,,,,,,,,,
2160,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__GRSS_CRRYNG_AMNT,GRSS_CRRYNG_AMNT,,,,,,,,,,,,
2161,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
2162,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__RPYMNT_RGHTS,RPYMNT_RGHTS,,,,,,,,,,,,
2163,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__INSTTTNL_SCTR,INSTTTNL_SCTR,,,,,,,,,,,,
2164,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__MLTLTRL_DVLPMNT_BNK_INDCTR,MLTLTRL_DVLPMNT_BNK_INDCTR,,,,,,,,,,,,
2165,F_18_00_a_REF_FINREP_3_0_cube_structure,F_18_00_a_REF_FINREP_3_0_cube_structure__PRTY_RL_TYP,PRTY_RL_TYP,,,,,,,,,,,,
