Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
79951401-48AD-0B79-E4AE-2FCEBF4531DA,Available for encumbrance indicator (Input layer),28,AVLBL_ENCMBRNC_INDCTR_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
A94315AA-F79B-486D-861E-476EAB318238,Balance sheet recognised exchange tradable derivative asset position by accounting standard,29,BLNC_SHT_RCGNSD_EXCHNG_TRDBL_DRVTV_ASST_PSTN_BY_ACCNTNG_STNDRD,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
28C63FCD-EC5D-A12C-540D-11B7B5292390,Balance sheet recognised exchange tradable derivative asset position by accounting standard (Input layer),30,BLNC_SHT_RCGNSD_EXCHNG_TRDBL_DRVTV_ASST_PSTN_BY_ACCNTNG_STNDRD_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
8E9867D1-C2B2-FF1A-61C9-171225D710C7,Balance sheet recognised exchange tradable derivative asset position type,31,BLNC_SHT_RCGNSD_ETD_ASST_PSTN_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
C69D6FBD-7F68-0CAE-BF31-005A90E86945,Balance sheet recognised exchange tradable derivative liability position type,32,BLNC_SHT_RCGNSD_EXCHNG_TRDBL_DRVTV_LBLTY_PSTN_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
4C9098A1-6B07-02A5-830B-F4311D919A73,Balance sheet recognised financial asset instrument by fair value type,33,BLNC_SHT_RCGNSD_FNNCL_ASST_INSTRMNT_FR_VL_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
f8c1b444-c462-4a7b-b44a-3464aab16964,Balance sheet recognised financial asset instrument type,34,BLNC_SHT_RCGNSD_FNNCL_ASST_INSTRMNT_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
C79FDF0C-9DC6-39C4-D668-6D7982053D1B,Balance sheet recognised financial asset instrument type by fair value (Input Layer),35,BLNC_SHT_RCGNSD_FFNCL_ASST_INSTRMNT_FR_VL_TYP_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
BDAA888E-8EE3-C165-FF8A-00F1C56BB1AE,Balance sheet recognised financial liability instrument accounting standard,36,,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
73604eb0-9f1e-4e2c-99a9-8b71faecd49d,Balance sheet recognised financial liability instrument type,37,BLNC_SHT_RCGNSD_FNNCL_LBLTY_INSTRMNT_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
18433f9f-18be-4c20-97d4-e4c5c0e6cba6,Balance sheet recognition of the financial asset,38,BLNC_SHT_RCGNTN_FNNCL_ASST,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
763B1D60-A6B0-0971-FA3A-0367F4BFF222,Balance sheet recognition of the financial asset (Input Layer),39,BLNC_SHT_RCGNTN_FNNCL_ASST_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
FE22E845-CECE-46F5-4456-8A4DC294ABF6,Cash leg direction indicator,40,CSH_LG_DRCTN_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
80F2B704-DF51-DB78-B30A-91068E702021,Central bank type,41,CNTRL_BNK_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
509D2314-8082-4064-93D0-A6CAAF6491F1,Collateral instrument reuse indicator,42,CLLTRL_INSTRMNT_RS_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
C383E5AE-7ECA-BA9F-8549-05C5C9003117,Collateral instrument reuse indicator (Input layer),43,CLLTRL_INSTRMNT_RS_INDCTR_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
5934E595-72E7-40B6-986B-C26B6E4E45B9,Collateral Non-financial asset assignment type,44,CLLTRL_NN_FNNCL_ASST_ASSGNMNT_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
05260E35-2715-DD5D-6FAA-2D287DD28A9B,Collateral received instrument type,45,CLLTRL_RCVD_INSTRMNT_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
BDCC7E23-1D7C-4115-BEAB-06446F9C297C,Collateral reuse indicator,46,CLLTRL_RS_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
74C00028-7B8A-2531-5165-74E85F3C375F,Collateral reuse indicator (Input layer),47,CLLTRL_RS_INDCTR_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
A13B4F0B-A165-43F0-8FFC-52E999DE5A44,Collateral role type,48,CLLTRL_RL_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
BAFAD612-C62B-4DA6-BF0C-6212B73F7926,Collateral role type (Input layer),49,CLLTRL_RL_TYP_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
B37BC93A-07AD-028E-B847-602681672BE8,Collateral type,50,CLLTRL_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
30ECDA74-951A-1D37-99DC-3F955DA9AA98,Collateral type (Input Layer),51,TYP_CLLTRL_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
F46DBD3B-725C-9AA6-6E4E-AF42ABEDD9C2,Commercial real estate and offices and commercial premises collateral type,52,CMMRCL_RL_ESTT_OFFC_CMMRCL_PRMS_CLLTRL_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
29DE22BE-049A-8E06-7604-618C67DD23ED,Commercial real estate loan indicator,53,CMMRCL_RL_ESTT_LN_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
4d4bad55-f6ee-41de-ac56-294292a323de,Commodity collateral type,54,CMMDTY_CLLTRL_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
E17A381B-AB51-2595-1586-E855CB6B4068,Commodity type (Input Layer),55,CMMDTY_TYP_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
F72E4F1A-CE19-323F-D20F-79FE54F4BECE,Commodity type for FRTB,56,CMMDTY_TYP_FRTB,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
F01DF8A4-BE55-44E6-B2D5-A8F7AE66392E,Compliance with article 129 CRR type,57,,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
1b28a0e8-5f83-4153-ae21-722184fc0870,Consolidation method - full domain,58,CNSLDTN_MTHD_FLL,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
39af11be-68e1-47b9-8923-36eee75d8bd6,Controlled by national or foreign bodies,59,CNTRLLD_NTNL_FRGN_BDS,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
3ff1e73f-0451-45db-8fd4-c1996a61ebbc,Controlled by national or foreign bodies (Input Layer),60,CNTRLLD_NTNL_FRGN_BDS_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
E98740CC-50BF-651A-54E0-27E3AE8B9E56,Corporation type,61,CRPRTN_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
083379C8-A6D7-41B4-9339-C36EA435CA5F,Cost and Revaluation model,62,MSRMNT_MTHD_2,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
de3a17c1-8da9-4e19-a69a-cc4dfb5671f9,Cost and Revaluation model (Input Layer),63,MSRMNT_MTHD_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
EADE65DD-379A-7573-703E-EEC402C9582A,Country code by postal code system,64,CNTRY_CD_PSTL_CD_SYSTM,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
cd346c04-b6d8-45fb-9793-ba8d703cc9e0,Country type,65,CNTRY_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
3A3CAEE3-1628-B664-55E6-A471C84BEE17,Credit facility Entity role assignment type,66,CRDT_FCLTY_ENTTY_RL_ASSGNMNT_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
691CF7CA-2465-39E3-933D-4570DB6A2060,Credit spread risk curve type,67,CSR_CRV_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
F6EEE55E-858F-5070-F4B1-361975A9D182,Currency for transaction reported,68,CRRNCY_SHSG4_ISIN_1_CRRNCY_TRNSCTN_RPRTD_REF,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
3BC05AAE-55DA-CBD8-38A1-82074F764B78,Date / period of application of forbearance measure,69,DT_OPNNG_BLNC_F_24.01_INTL_RCGNTN_DT_REF,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
CDB1D267-1064-0725-1DC8-E30AE23EFB40,Debt financing according to AnaCredit indicator,70,DBT_FNNCNG_ANCRDT_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
